timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1586047610896,226,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,224,utf-8,1,0,Admin,0,21
1586047610896,226,II_HomePage_GET,200,,clearGuestbookHistory 2-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,224,utf-8,1,0,Admin,0,21
1586047610825,226,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,224,ISO-8859-1,1,0,Admin,65,21
1586047610825,226,II_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22628,365,1,2,null,,224,ISO-8859-1,1,0,Admin,65,21
1586047611124,17,II_GuestBook_GET,200,,clearGuestbookHistory 2-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,17,utf-8,1,0,Admin,0,0
1586047611124,17,II_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,4112,412,1,2,null,,17,ISO-8859-1,1,0,Admin,1,0
1586047611124,18,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,18,utf-8,1,0,Admin,0,0
1586047611124,18,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,18,ISO-8859-1,1,0,Admin,4,0
1586047611146,4,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,4,utf-8,1,0,Admin,0,0
1586047611146,4,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,4,ISO-8859-1,1,0,Admin,0,0
1586047611151,56,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,493,1,2,http://localhost:8090/service/guestbook,,56,UTF-8,1,0,Admin,0,0
1586047611207,19,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2377,312,1,2,http://localhost:8090/service/guestbook,,19,UTF-8,1,0,Admin,0,0
1586047611151,75,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,2651,805,1,2,null,,75,ISO-8859-1,1,0,Admin,0,0
1586047611226,4,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,4,utf-8,1,0,Admin,0,0
1586047611230,5,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2377,337,1,2,http://localhost:8090/service/guestbook,,5,UTF-8,1,0,Admin,0,0
1586047611226,9,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6489,768,1,2,null,,9,ISO-8859-1,1,0,Admin,0,0
1586047611236,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,3,utf-8,1,0,Admin,0,0
1586047611236,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,3,ISO-8859-1,1,0,Admin,1,0
1586047611240,4,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,4,utf-8,1,0,Admin,0,0
1586047611240,4,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,4,ISO-8859-1,1,0,Admin,0,0
1586047611245,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047611245,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047611248,9,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,527,1,2,http://localhost:8090/service/guestbook,,9,UTF-8,1,0,Admin,0,0
1586047611257,7,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2428,312,1,2,http://localhost:8090/service/guestbook,,7,UTF-8,1,0,Admin,0,0
1586047611248,16,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,2702,839,1,2,null,,16,ISO-8859-1,1,0,Admin,0,0
1586047611142,122,II_SELECT,200,OK,clearGuestbookHistory 2-1,text,true,,12,0,1,2,null,,120,UTF-8,1,0,Admin,0,106
1586047611142,122,II_CountRecords,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,12,0,1,2,null,,120,ISO-8859-1,1,0,Admin,0,106
1586047611264,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047611267,4,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2428,337,1,2,http://localhost:8090/service/guestbook,,4,UTF-8,1,0,Admin,0,0
1586047611264,7,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6540,768,1,2,null,,7,ISO-8859-1,1,0,Admin,0,0
1586047611304,1,II_TRUNCATE,200,OK,clearGuestbookHistory 2-1,text,true,,9,0,1,2,null,,1,UTF-8,1,0,Admin,0,0
1586047611306,3,II_HomePage_GET,200,,clearGuestbookHistory 2-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,3,utf-8,1,0,Admin,0,0
1586047611305,3,II_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22628,365,1,2,null,,3,ISO-8859-1,1,0,Admin,1,0
1586047611309,3,II_GuestBook_GET,200,,clearGuestbookHistory 2-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047611309,3,II_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,4112,412,1,2,null,,3,ISO-8859-1,1,0,Admin,1,0
1586047611313,0,II_SELECT,200,OK,clearGuestbookHistory 2-1,text,true,,11,0,1,2,null,,0,UTF-8,1,0,Admin,0,0
1586047611313,0,II_CountRecords,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,11,0,1,2,null,,0,ISO-8859-1,1,0,Admin,1,0
1586047611787,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,4,utf-8,1,0,Admin,0,0
1586047611271,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,4,ISO-8859-1,1,0,Admin,516,0
